C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/6/15,ミートソーススパゲッティ,玉ねぎ,40,12,0.4,0,1
2023/6/15,ミートソーススパゲッティ,キャベツ,20,4,0.2,0,1
2023/6/15,ミートソーススパゲッティ,油,1,9,0,1,0
2023/6/15,ミートソーススパゲッティ,グリンピース,2,2,0.1,0,0
2023/6/15,ミートソーススパゲッティ,トマトケチャップ,14,15,0.2,0,168
2023/6/15,ミートソーススパゲッティ,トマトピューレ,14,6,0.3,0,3
2023/6/15,ミートソーススパゲッティ,中濃ソース,8,11,0.1,0,184
2023/6/15,ミートソーススパゲッティ,さとう,1,4,0,0,0
2023/6/15,ミートソーススパゲッティ,塩,0.4,0,0,0,156
2023/6/15,ミートソーススパゲッティ,こしょう,0.03,0,0,0,0
2023/6/15,ミートソーススパゲッティ,ナツメグ,0.01,0,0,0,0
2023/6/15,ミートソーススパゲッティ,ローリエ,0.02,0,0,0,0
2023/6/15,ミートソーススパゲッティ,水,50～60,0,0,0,0
2023/6/15,ミートソーススパゲッティ,粉チーズ,3,13,1.3,0.9,45
2023/6/15,ミートソーススパゲッティ,米粉,6,21,0.4,0,0
2023/6/15,ミートソーススパゲッティ,水,,0,0,0,0
2023/6/15,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/15,ミックスフルーツ,りんご缶,40,32,0.1,0,1
2023/6/15,ミックスフルーツ,パイン缶,10,8,0,0,0
2023/6/15,ミックスフルーツ,みかん缶,20,13,0.1,0,1
2023/6/15,ミックスフルーツ,かんづめの汁,30,19,0.1,0,1
2023/6/16,チーズパン,チーズパンB,50,247,9.2,6.5,420
2023/6/16,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/16,揚げじゃがいものそぼろ煮,じゃがいも,140,74,2.3,0.1,1
2023/6/16,揚げじゃがいものそぼろ煮,油,35,37,0,4.2,0
2023/6/16,揚げじゃがいものそぼろ煮,豚ひき肉,30,55,6,3.5,15
2023/6/16,揚げじゃがいものそぼろ煮,さとう,4.5,18,0,0,0
2023/6/16,揚げじゃがいものそぼろ煮,しょうゆ,4.5,3,0.3,0,257
2023/6/16,揚げじゃがいものそぼろ煮,酒,0.5,1,0,0,0
2023/6/16,揚げじゃがいものそぼろ煮,片栗粉,1,3,0,0,0
2023/6/16,揚げじゃがいものそぼろ煮,水,,0,0,0,0
2023/6/16,塩ナムル,もやし,45,7,0.7,0,1
2023/6/16,塩ナムル,人参,5,1,0,0,2
2023/6/16,塩ナムル,小松菜,20,3,0.3,0,3
2023/6/16,塩ナムル,ごま油,0.4,4,0,0.4,0
2023/6/16,塩ナムル,酢,1,1,0,0,0
2023/6/16,塩ナムル,塩,0.4,0,0,0,156
2023/6/16,塩ナムル,白ごま,1,6,0.2,0.5,0
2023/6/19,マーボー生揚げ丼,米（委託炊飯）,80,274,4.9,0.7,1
2023/6/19,マーボー生揚げ丼,冷凍生揚げ,80,125,8.2,8.6,26
2023/6/19,マーボー生揚げ丼,豚ひき肉,22,40,4.4,2.6,11
2023/6/19,マーボー生揚げ丼,大豆ミート,3.3,12,1.5,0.1,0
2023/6/19,マーボー生揚げ丼,しょうが,1,0,0,0,0
2023/6/19,マーボー生揚げ丼,長ねぎ,5,1,0,0,0
2023/6/19,マーボー生揚げ丼,人参,10,3,0.1,0,3
2023/6/19,マーボー生揚げ丼,もやし,30,4,0.5,0,1
2023/6/19,マーボー生揚げ丼,油,0.5,4,0,0.5,0
2023/6/19,マーボー生揚げ丼,さとう,2,8,0,0,0
2023/6/19,マーボー生揚げ丼,しょうゆ,5,4,0.4,0,285
2023/6/19,マーボー生揚げ丼,赤みそ,2,4,0.3,0.1,102
2023/6/19,マーボー生揚げ丼,豆板醤,0.2,0,0,0,14
2023/6/19,マーボー生揚げ丼,片栗粉,1,3,0,0,0
2023/6/19,マーボー生揚げ丼,水,15,0,0,0,0
2023/6/19,マーボー生揚げ丼,ごま油,0.5,4,0,0.5,0
2023/6/19,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/19,わかめスープ,鶏肉,10,16,1.9,1,5
2023/6/19,わかめスープ,人参,10,3,0.1,0,3
2023/6/19,わかめスープ,玉ねぎ,10,3,0.1,0,0
2023/6/19,わかめスープ,小松菜,12,2,0.2,0,2
2023/6/19,わかめスープ,わかめ,0.8,1,0.1,0,29
2023/6/19,わかめスープ,濃縮スープ（チキン）,5,1,0.2,0,4
2023/6/19,わかめスープ,塩,0.6,0,0,0,234
2023/6/19,わかめスープ,しょうゆ,2,2,0.2,0,114
2023/6/19,わかめスープ,水,120～130,0,0,0,0
2023/6/20,ぶどうパン,ぶどうパン,50,250,7.3,3.9,353
2023/6/20,牛乳,牛乳,206,126,6.8,7.8,84
2023/6/20,マカロニグラタン,鶏肉,30,49,5.7,3,16
2023/6/20,マカロニグラタン,マカロニ,24,83,3.1,0.4,0
2023/6/20,マカロニグラタン,塩,0.4,0,0,0,0
2023/6/20,マカロニグラタン,人参,6,2,0,0,2
2023/6/20,マカロニグラタン,玉ねぎ,40,12,0.4,0,1
2023/6/20,マカロニグラタン,油,0.7,6,0,0.7,0
2023/6/20,マカロニグラタン,油,2,18,0,2,0
2023/6/20,マカロニグラタン,バター,2,14,0,1.6,15
2023/6/20,マカロニグラタン,小麦粉,4,14,0.3,0.1,0
2023/6/20,マカロニグラタン,調理用牛乳,30,18,1,1.1,12
2023/6/20,マカロニグラタン,脱脂粉乳,5,18,1.7,0.1,29
2023/6/20,マカロニグラタン,濃縮スープ（チキン）,2,0,0.1,0,2
2023/6/20,マカロニグラタン,塩,0.75,0,0,0,293
2023/6/20,マカロニグラタン,こしょう,0.04,0,0,0,0
2023/6/20,マカロニグラタン,水,30～40,0,0,0,0
2023/6/20,マカロニグラタン,とろけるチーズ,10,31,2.3,2.6,110
2023/6/20,マカロニグラタン,パン粉,1,4,0.1,0.1,5
2023/6/20,野菜サラダ,キャベツ,45,8,0.5,0.1,2
2023/6/20,野菜サラダ,人参,5,1,0,0,2
2023/6/20,野菜サラダ,ホールコーン,5,4,0.1,0,11
2023/6/20,野菜サラダ,塩,0.27,0,0,0,105
2023/6/20,野菜サラダ,酢,1.4,1,0,0,0
2023/6/20,野菜サラダ,こしょう,0.01,0,0,0,0
