C日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2023/2/1,キムチチャーハン,長ねぎ,10,2,0.1,0,0
2023/2/1,キムチチャーハン,しょうが,0.3,0,0,0,0
2023/2/1,キムチチャーハン,にんにく,0.02,0,0,0,0
2023/2/1,キムチチャーハン,ごま油,1.5,13,0,1.5,0
2023/2/1,キムチチャーハン,白菜キムチ,10,4,0.2,0,232
2023/2/1,キムチチャーハン,濃縮スープ（ポーク）,6,3,0.2,0.2,5
2023/2/1,キムチチャーハン,塩,0.12,0,0,0,47
2023/2/1,キムチチャーハン,こしょう,0.03,0,0,0,0
2023/2/1,キムチチャーハン,しょうゆ,1.6,1,0.1,0,91
2023/2/1,キムチチャーハン,みりん,2,5,0,0,0
2023/2/1,牛乳,牛乳,206,126,6.8,7.8,84
2023/2/1,揚げギョウザ,ギョウザ,51,101,2.9,4.8,128
2023/2/1,揚げギョウザ,油,35,11,0,1.2,0
2023/2/1,わかめサラダ,わかめ,1,2,0.2,0,36
2023/2/1,わかめサラダ,キャベツ,45,8,0.5,0.1,2
2023/2/1,わかめサラダ,人参,5,1,0,0,2
2023/2/1,わかめサラダ,しょうゆ,3,2,0.2,0,171
2023/2/1,わかめサラダ,サラダ油,2,18,0,2,0
2023/2/1,ゼリー,りんごゼリー（鉄）,50,50,0.1,0.1,22
2023/2/2,チーズパン,チーズパンB,50,250,9.2,6.6,422
2023/2/2,牛乳,牛乳,206,126,6.8,7.8,84
2023/2/2,はやし煮,豚肉,40,73,8,4.7,20
2023/2/2,はやし煮,人参,10,3,0.1,0,3
2023/2/2,はやし煮,玉ねぎ,40,12,0.4,0,1
2023/2/2,はやし煮,じゃがいも,70,37,1.1,0.1,1
2023/2/2,はやし煮,油,1,9,0,1,0
2023/2/2,はやし煮,グリンピース,3,2,0.2,0,0
2023/2/2,はやし煮,油,2,18,0,2,0
2023/2/2,はやし煮,小麦粉,3,10,0.2,0,0
2023/2/2,はやし煮,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2023/2/2,はやし煮,トマトケチャップ,12,13,0.2,0,144
2023/2/2,はやし煮,中濃ソース,3.5,5,0,0,81
