A日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/5/20,チキンピラフ,濃縮スープ（チキン）,2,0,0.1,0,2
2022/5/20,チキンピラフ,塩,0.9,0,0,0,351
2022/5/20,チキンピラフ,こしょう,0.02,0,0,0,0
2022/5/20,チキンピラフ,グリンピース,3,2,0.2,0,0
2022/5/20,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/20,肉団子の甘酢あんかけ,肉団子,60,133,9.1,8.2,81
2022/5/20,肉団子の甘酢あんかけ,油,35,11,0,1.2,0
2022/5/20,肉団子の甘酢あんかけ,しょうが,0.5,0,0,0,0
2022/5/20,肉団子の甘酢あんかけ,さとう,1.2,5,0,0,0
2022/5/20,肉団子の甘酢あんかけ,酢,0.8,0,0,0,0
2022/5/20,肉団子の甘酢あんかけ,しょうゆ,1.9,1,0.1,0,108
2022/5/20,肉団子の甘酢あんかけ,片栗粉,0.5,2,0,0,0
2022/5/20,肉団子の甘酢あんかけ,水,10～15,0,0,0,0
2022/5/20,ごまドレッシングサラダ,キャベツ,50,9,0.6,0.1,2
2022/5/20,ごまドレッシングサラダ,きゅうり,5,1,0,0,0
2022/5/20,ごまドレッシングサラダ,白ごま,1.6,10,0.3,1,0
2022/5/20,ごまドレッシングサラダ,酢,1.1,1,0,0,0
2022/5/20,ごまドレッシングサラダ,しょうゆ,2.2,2,0.2,0,125
2022/5/20,ごまドレッシングサラダ,さとう,1.1,4,0,0,0
2022/5/20,ごまドレッシングサラダ,サラダ油,1,9,0,1,0
2022/5/20,ごまドレッシングサラダ,ごま油,0.3,3,0,0.3,0
2022/5/23,かた焼きそば,蒸し麺,40,144,4.4,1.2,128
2022/5/23,かた焼きそば,油,35,53,0,6,0
2022/5/23,かた焼きそば,豚肉,32,58,6.4,3.7,16
2022/5/23,かた焼きそば,人参,10,3,0.1,0,3
2022/5/23,かた焼きそば,玉ねぎ,35,11,0.3,0,1
2022/5/23,かた焼きそば,もやし,25,4,0.4,0,0
2022/5/23,かた焼きそば,白菜,50,6,0.4,0,3
2022/5/23,かた焼きそば,干し椎茸,0.8,2,0.2,0,0
2022/5/23,かた焼きそば,油,1,9,0,1,0
2022/5/23,かた焼きそば,うずら卵水煮,15,24,1.7,2.1,32
2022/5/23,かた焼きそば,グリンピース,3,2,0.2,0,0
2022/5/23,かた焼きそば,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2022/5/23,かた焼きそば,さとう,0.5,2,0,0,0
2022/5/23,かた焼きそば,塩,0.6,0,0,0,234
2022/5/23,かた焼きそば,こしょう,0.04,0,0,0,0
2022/5/23,かた焼きそば,しょうゆ,4,3,0.3,0,228
2022/5/23,かた焼きそば,酢,1.8,1,0,0,0
2022/5/23,かた焼きそば,片栗粉,5,17,0,0,0
2022/5/23,かた焼きそば,水,50～60,0,0,0,0
2022/5/23,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/23,フルーツポンチ,みかん缶,20,13,0.1,0,1
2022/5/23,フルーツポンチ,パイン缶,20,15,0.1,0,0
2022/5/23,フルーツポンチ,りんご缶,25,20,0.1,0,1
2022/5/23,フルーツポンチ,みかんダイスゼリー,20,19,0,0,18
2022/5/23,フルーツポンチ,さとう,6,23,0,0,0
2022/5/23,フルーツポンチ,水,12～15,0,0,0,0
2022/5/23,フルーツポンチ,かんづめの汁,10,6,0,0,0
2022/5/24,ごはん,米（委託炊飯）,80,274,4.9,0.7,1
2022/5/24,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/24,ホキのカリカリフライ,ホキ,60,47,10.2,0.8,96
2022/5/24,ホキのカリカリフライ,塩,0.2,0,0,0,78
2022/5/24,ホキのカリカリフライ,こしょう,0.05,0,0,0,0
2022/5/24,ホキのカリカリフライ,小麦粉,4,14,0.3,0.1,0
2022/5/24,ホキのカリカリフライ,小麦粉,5,17,0.4,0.1,0
2022/5/24,ホキのカリカリフライ,水,7,0,0,0,0
2022/5/24,ホキのカリカリフライ,パン粉,7,26,1,0.5,32
2022/5/24,ホキのカリカリフライ,大豆フレーク,6,26,2.1,1.3,0
2022/5/24,ホキのカリカリフライ,油,35,53,0,6,0
2022/5/24,ホキのカリカリフライ,中濃ソース,5,7,0,0,115
2022/5/24,ワンタンスープ,ウェーブワンタン,7,25,0.8,0.1,11
2022/5/24,ワンタンスープ,豚肉,20,36,4,2.3,10
2022/5/24,ワンタンスープ,人参,10,3,0.1,0,3
2022/5/24,ワンタンスープ,玉ねぎ,40,12,0.4,0,1
2022/5/24,ワンタンスープ,白菜,30,4,0.2,0,2
2022/5/24,ワンタンスープ,ほうれん草,10,2,0.3,0,11
2022/5/24,ワンタンスープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4
2022/5/24,ワンタンスープ,塩,0.8,0,0,0,312
2022/5/24,ワンタンスープ,こしょう,0.03,0,0,0,0
2022/5/24,ワンタンスープ,しょうゆ,2,2,0.2,0,114
2022/5/24,ワンタンスープ,水,120～130,0,0,0,0
2022/5/25,食パン,食パン,60,249,8.3,4.6,421
2022/5/25,牛乳,牛乳,206,126,6.8,7.8,84
2022/5/25,メキシカンソース,豚ひき肉,45,82,9,5.3,22
2022/5/25,メキシカンソース,大豆ミート,8,29,3.7,0.2,0
2022/5/25,メキシカンソース,玉ねぎ,40,12,0.4,0,1
2022/5/25,メキシカンソース,人参,20,5,0.1,0,6
2022/5/25,メキシカンソース,ホールコーン,15,12,0.3,0.1,32
2022/5/25,メキシカンソース,マッシュルーム,3,1,0.1,0,11
2022/5/25,メキシカンソース,にんにく,0.07,0,0,0,0
2022/5/25,メキシカンソース,油,0.8,7,0,0.8,0
2022/5/25,メキシカンソース,グリンピース,3,2,0.2,0,0
2022/5/25,メキシカンソース,濃縮スープ（ポーク）,3,2,0.1,0.1,2
2022/5/25,メキシカンソース,ナツメグ,0.01,0,0,0,0
2022/5/25,メキシカンソース,ベイリーフ,0.01,0,0,0,0
2022/5/25,メキシカンソース,トマトケチャップ,15,16,0.2,0,180
2022/5/25,メキシカンソース,チリパウダー,0.06,0,0,0,2
2022/5/25,メキシカンソース,一味とうがらし,0.02,0,0,0,0
2022/5/25,メキシカンソース,塩,0.13,0,0,0,51
2022/5/25,メキシカンソース,こしょう,0.01,0,0,0,0
2022/5/25,メキシカンソース,さとう,0.6,2,0,0,0
2022/5/25,メキシカンソース,しょうゆ,0.6,0,0,0,34
2022/5/25,メキシカンソース,水,15,0,0,0,0
2022/5/25,メキシカンソース,米粉,3,11,0.2,0,0
2022/5/25,メキシカンソース,水,,0,0,0,0
2022/5/25,みそドレッシングサラダ,キャベツ,20,4,0.2,0,1
2022/5/25,みそドレッシングサラダ,もやし,25,4,0.4,0,0
2022/5/25,みそドレッシングサラダ,きゅうり,5,1,0,0,0
2022/5/25,みそドレッシングサラダ,白みそ,2.6,5,0.3,0.2,127
2022/5/25,みそドレッシングサラダ,さとう,1.5,6,0,0,0
2022/5/25,みそドレッシングサラダ,サラダ油,0.9,8,0,0.9,0
2022/5/25,みそドレッシングサラダ,酢,1.5,1,0,0,0
2022/5/25,みそドレッシングサラダ,ごま油,0.25,2,0,0.3,0
2022/5/25,みそドレッシングサラダ,白ごま,0.7,4,0.1,0.4,0
2022/5/26,たけのこごはん,米,62,212,3.8,0.6,1
2022/5/26,たけのこごはん,麦,8,27,0.6,0.2,0
