D日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）
2022/7/19,タルト,シークヮーサータルト,30,102,1,4.3,14
2022/7/20,ギニリンライス,米,70,239,4.3,0.6,1
2022/7/20,ギニリンライス,麦,10,33,0.7,0.2,0
2022/7/20,ギニリンライス,油,0.3,3,0,0.3,0
2022/7/20,ギニリンライス,酒,1,1,0,0,0
2022/7/20,ギニリンライス,水,,0,0,0,0
2022/7/20,ギニリンライス,豚ひき肉,50,91,10,5.9,25
2022/7/20,ギニリンライス,大豆ミート,5,18,2.3,0.2,0
2022/7/20,ギニリンライス,玉ねぎ,30,9,0.3,0,1
2022/7/20,ギニリンライス,人参,10,3,0.1,0,3
2022/7/20,ギニリンライス,じゃがいも,25,13,0.4,0,0
2022/7/20,ギニリンライス,ダイストマト,25,5,0.2,0.1,1
2022/7/20,ギニリンライス,ピーマン,5,1,0,0,0
2022/7/20,ギニリンライス,にんにく,0.4,0,0,0,0
2022/7/20,ギニリンライス,油,1.2,11,0,1.2,0
2022/7/20,ギニリンライス,さとう,1.2,5,0,0,0
2022/7/20,ギニリンライス,しょうゆ,4,3,0.3,0,228
2022/7/20,ギニリンライス,オイスターソース,0.6,1,0,0,27
2022/7/20,ギニリンライス,塩,0.3,0,0,0,117
2022/7/20,ギニリンライス,こしょう,0.03,0,0,0,0
2022/7/20,ギニリンライス,ベイリーフ,0.01,0,0,0,0
2022/7/20,ギニリンライス,水,,0,0,0,0
2022/7/20,牛乳,牛乳,206,126,6.8,7.8,84
2022/7/20,グリーンサラダ,キャベツ,40,7,0.4,0.1,2
2022/7/20,グリーンサラダ,きゅうり,5,1,0,0,0
2022/7/20,グリーンサラダ,ほうれん草,10,2,0.3,0,11
2022/7/20,グリーンサラダ,塩,0.27,0,0,0,105
2022/7/20,グリーンサラダ,酢,1.8,1,0,0,0
2022/7/20,グリーンサラダ,こしょう,0.01,0,0,0,0
2022/7/20,グリーンサラダ,からし粉,0.04,0,0,0,0
2022/7/20,グリーンサラダ,サラダ油,3.6,32,0,3.6,0
2022/7/20,ヨーグルト,ヨーグルト（鉄）,80,68,2.3,1.1,31
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
