B日付,献立名,材料名,分量（g）,エネルギー（kcal）,たんぱく質（g）,脂質（g）,ナトリウム（mg）,,,,,,,,,
2023/11/15,あんかけうどん,さとう,0.3,1,0,0,0,,,,,,,,,
2023/11/15,あんかけうどん,塩,0.5,0,0,0,195,,,,,,,,,
2023/11/15,あんかけうどん,しょうゆ,6,5,0.5,0,342,,,,,,,,,
2023/11/15,あんかけうどん,片栗粉,3.5,12,0,0,0,,,,,,,,,
2023/11/15,あんかけうどん,水,100～120,0,0,0,0,,,,,,,,,
2023/11/15,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,しいら,50,50,10.7,1,25,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,しょうゆ,2.7,2,0.2,0,154,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,しょうが,0.8,0,0,0,0,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,酒,0.8,1,0,0,0,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,片栗粉,12,41,0,0,0,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,じゃがいも,80,42,1.3,0.1,1,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,油,35,44,0,5,0,,,,,,,,,
2023/11/15,しいらとじゃがいものから揚げ,塩,0.08,0,0,0,31,,,,,,,,,
2023/11/15,タルト,さつまいもと栗のタルト（鉄）,30,107,1,4.9,5,,,,,,,,,
2023/11/16,ごはん,米（委託炊飯）,80,274,4.9,0.7,1,,,,,,,,,
2023/11/16,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/16,ジャーチャン豆腐,冷凍生揚げ,80,125,8.2,8.6,26,,,,,,,,,
2023/11/16,ジャーチャン豆腐,豚ひき肉,30,55,6,3.5,15,,,,,,,,,
2023/11/16,ジャーチャン豆腐,にんにく,0.2,0,0,0,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/16,ジャーチャン豆腐,長ねぎ,5,1,0,0,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,エリンギ,10,3,0.3,0,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,にら,5,1,0.1,0,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,ごま油,0.5,4,0,0.5,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,赤みそ,4,7,0.5,0.2,204,,,,,,,,,
2023/11/16,ジャーチャン豆腐,しょうゆ,2,2,0.2,0,114,,,,,,,,,
2023/11/16,ジャーチャン豆腐,さとう,2,8,0,0,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,片栗粉,1,3,0,0,0,,,,,,,,,
2023/11/16,ジャーチャン豆腐,水,15,0,0,0,0,,,,,,,,,
2023/11/16,白菜スープ,人参,5,1,0,0,2,,,,,,,,,
2023/11/16,白菜スープ,玉ねぎ,10,3,0.1,0,0,,,,,,,,,
2023/11/16,白菜スープ,白菜,40,5,0.3,0,2,,,,,,,,,
2023/11/16,白菜スープ,ベーコン,2,8,0.3,0.8,16,,,,,,,,,
2023/11/16,白菜スープ,濃縮スープ（ポーク）,5,3,0.2,0.2,4,,,,,,,,,
2023/11/16,白菜スープ,塩,0.8,0,0,0,312,,,,,,,,,
2023/11/16,白菜スープ,こしょう,0.03,0,0,0,0,,,,,,,,,
2023/11/16,白菜スープ,しょうゆ,1.5,1,0.1,0,86,,,,,,,,,
2023/11/16,白菜スープ,水,120～130,0,0,0,0,,,,,,,,,
2023/11/17,麦ごはん,米,70,239,4.3,0.6,1,,,,,,,,,
2023/11/17,麦ごはん,麦,10,33,0.7,0.2,0,,,,,,,,,
2023/11/17,麦ごはん,油,0.3,3,0,0.3,0,,,,,,,,,
2023/11/17,麦ごはん,酒,1,1,0,0,0,,,,,,,,,
2023/11/17,麦ごはん,水,,0,0,0,0,,,,,,,,,
2023/11/17,牛乳,牛乳,206,126,6.8,7.8,84,,,,,,,,,
2023/11/17,とん漬け,豚肉,60,149,11.6,11.5,25,,,,,,,,,
2023/11/17,とん漬け,にんにく,0.1,0,0,0,0,,,,,,,,,
2023/11/17,とん漬け,赤みそ,3,5,0.4,0.2,153,,,,,,,,,
2023/11/17,とん漬け,しょうゆ,1,1,0.1,0,57,,,,,,,,,
2023/11/17,とん漬け,さとう,1,4,0,0,0,,,,,,,,,
2023/11/17,とん漬け,酒,1,1,0,0,0,,,,,,,,,
2023/11/17,とん漬け,みりん,1,2,0,0,0,,,,,,,,,
2023/11/17,吉野汁,鶏肉,10,16,1.9,1,5,,,,,,,,,
2023/11/17,吉野汁,人参,10,3,0.1,0,3,,,,,,,,,
2023/11/17,吉野汁,大根,30,4,0.1,0,4,,,,,,,,,
2023/11/17,吉野汁,冷凍油揚げ,5,21,1.2,1.7,0,,,,,,,,,
2023/11/17,吉野汁,えのき,7,2,0.2,0,0,,,,,,,,,
2023/11/17,吉野汁,小松菜,15,2,0.2,0,2,,,,,,,,,
2023/11/17,吉野汁,長ねぎ,10,2,0.1,0,0,,,,,,,,,
2023/11/17,吉野汁,かつお節,1.5,0,0,0,0,,,,,,,,,
2023/11/17,吉野汁,しょうゆ,3.5,3,0.3,0,200,,,,,,,,,
2023/11/17,吉野汁,酒,1,1,0,0,0,,,,,,,,,
2023/11/17,吉野汁,塩,0.45,0,0,0,176,,,,,,,,,
2023/11/17,吉野汁,片栗粉,1.5,5,0,0,0,,,,,,,,,
2023/11/17,吉野汁,水,120～130,0,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,スパゲッティ,60,208,7.7,1.1,1,,,,,,,,,
2023/11/20,肉みそスパゲッティ,塩,1.2,0,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,サラダ油,3,12,0,1.3,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,豚ひき肉,50,91,10,5.9,25,,,,,,,,,
2023/11/20,肉みそスパゲッティ,長ねぎ,6,1,0.1,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,しょうが,1,0,0,0,0,,,,,,,,,
2023/11/20,肉みそスパゲッティ,人参,12,3,0.1,0,4,,,,,,,,,
